,Dates,Home_teams,Score,Away_team
0,13-08-2022,Arsenal,4 - 2,Leicester
1,27-08-2022,Arsenal,2 - 1,Fulham
2,31-08-2022,Arsenal,2 - 1,Aston Villa
3,01-10-2022,Arsenal,3 - 1,Tottenham
4,09-10-2022,Arsenal,3 - 2,Liverpool
5,30-10-2022,Arsenal,5 - 0,Nott'm Forest
6,26-12-2022,Arsenal,3 - 1,West Ham
7,03-01-2023,Arsenal,0 - 0,Newcastle
8,22-01-2023,Arsenal,3 - 2,Man United
9,11-02-2023,Arsenal,1 - 1,Brentford
10,15-02-2023,Arsenal,1 - 3,Man City
11,01-03-2023,Arsenal,4 - 0,Everton
12,04-03-2023,Arsenal,3 - 2,Bournemouth
13,19-03-2023,Arsenal,4 - 1,Crystal Palace
14,01-04-2023,Arsenal,4 - 1,Leeds
15,05-08-2022,Crystal Palace,0 - 2,Arsenal
16,20-08-2022,Bournemouth,0 - 3,Arsenal
17,04-09-2022,Man United,3 - 1,Arsenal
18,18-09-2022,Brentford,0 - 3,Arsenal
19,16-10-2022,Leeds,0 - 1,Arsenal
20,23-10-2022,Southampton,1 - 1,Arsenal
21,06-11-2022,Chelsea,0 - 1,Arsenal
22,12-11-2022,Wolves,0 - 2,Arsenal
23,31-12-2022,Brighton,2 - 4,Arsenal
24,15-01-2023,Tottenham,0 - 2,Arsenal
25,04-02-2023,Everton,1 - 0,Arsenal
26,18-02-2023,Aston Villa,2 - 4,Arsenal
27,25-02-2023,Leicester,0 - 1,Arsenal
28,12-03-2023,Fulham,0 - 3,Arsenal
29,09-04-2023,Liverpool,2 - 2,Arsenal
30,16-04-2023,West Ham,? - ?,Arsenal
31,13-08-2022,Aston Villa,2 - 1,Everton
32,28-08-2022,Aston Villa,0 - 1,West Ham
33,03-09-2022,Aston Villa,1 - 1,Man City
34,16-09-2022,Aston Villa,1 - 0,Southampton
35,16-10-2022,Aston Villa,0 - 2,Chelsea
36,23-10-2022,Aston Villa,4 - 0,Brentford
37,06-11-2022,Aston Villa,3 - 1,Man United
38,26-12-2022,Aston Villa,1 - 3,Liverpool
39,04-01-2023,Aston Villa,1 - 1,Wolves
40,13-01-2023,Aston Villa,2 - 1,Leeds
41,04-02-2023,Aston Villa,2 - 4,Leicester
42,18-02-2023,Aston Villa,2 - 4,Arsenal
43,04-03-2023,Aston Villa,1 - 0,Crystal Palace
44,18-03-2023,Aston Villa,3 - 0,Bournemouth
45,08-04-2023,Aston Villa,2 - 0,Nott'm Forest
46,15-04-2023,Aston Villa,? - ?,Newcastle
47,06-08-2022,Bournemouth,2 - 0,Aston Villa
48,20-08-2022,Crystal Palace,3 - 1,Aston Villa
49,31-08-2022,Arsenal,2 - 1,Aston Villa
50,02-10-2022,Leeds,0 - 0,Aston Villa
51,10-10-2022,Nott'm Forest,1 - 1,Aston Villa
52,20-10-2022,Fulham,3 - 0,Aston Villa
53,29-10-2022,Newcastle,4 - 0,Aston Villa
54,13-11-2022,Brighton,1 - 2,Aston Villa
55,01-01-2023,Tottenham,0 - 2,Aston Villa
56,21-01-2023,Southampton,0 - 1,Aston Villa
57,12-02-2023,Man City,3 - 1,Aston Villa
58,25-02-2023,Everton,0 - 2,Aston Villa
59,12-03-2023,West Ham,1 - 1,Aston Villa
60,01-04-2023,Chelsea,0 - 2,Aston Villa
61,04-04-2023,Leicester,1 - 2,Aston Villa
62,06-08-2022,Bournemouth,2 - 0,Aston Villa
63,20-08-2022,Bournemouth,0 - 3,Arsenal
64,31-08-2022,Bournemouth,0 - 0,Wolves
65,01-10-2022,Bournemouth,0 - 0,Brentford
66,08-10-2022,Bournemouth,2 - 1,Leicester
67,19-10-2022,Bournemouth,0 - 1,Southampton
68,29-10-2022,Bournemouth,2 - 3,Tottenham
69,12-11-2022,Bournemouth,3 - 0,Everton
70,31-12-2022,Bournemouth,0 - 2,Crystal Palace
71,21-01-2023,Bournemouth,1 - 1,Nott'm Forest
72,11-02-2023,Bournemouth,1 - 1,Newcastle
73,25-02-2023,Bournemouth,1 - 4,Man City
74,11-03-2023,Bournemouth,1 - 0,Liverpool
75,01-04-2023,Bournemouth,2 - 1,Fulham
76,04-04-2023,Bournemouth,0 - 2,Brighton
77,13-08-2022,Man City,4 - 0,Bournemouth
78,27-08-2022,Liverpool,9 - 0,Bournemouth
79,03-09-2022,Nott'm Forest,2 - 3,Bournemouth
80,17-09-2022,Newcastle,1 - 1,Bournemouth
81,15-10-2022,Fulham,2 - 2,Bournemouth
82,24-10-2022,West Ham,2 - 0,Bournemouth
83,05-11-2022,Leeds,4 - 3,Bournemouth
84,27-12-2022,Chelsea,2 - 0,Bournemouth
85,03-01-2023,Man United,3 - 0,Bournemouth
86,14-01-2023,Brentford,2 - 0,Bournemouth
87,04-02-2023,Brighton,1 - 0,Bournemouth
88,18-02-2023,Wolves,0 - 1,Bournemouth
89,04-03-2023,Arsenal,3 - 2,Bournemouth
90,18-03-2023,Aston Villa,3 - 0,Bournemouth
91,08-04-2023,Leicester,0 - 1,Bournemouth
92,15-04-2023,Tottenham,? - ?,Bournemouth
93,13-08-2022,Brentford,4 - 0,Man United
94,27-08-2022,Brentford,1 - 1,Everton
95,03-09-2022,Brentford,5 - 2,Leeds
96,18-09-2022,Brentford,0 - 3,Arsenal
97,14-10-2022,Brentford,2 - 0,Brighton
98,19-10-2022,Brentford,0 - 0,Chelsea
99,29-10-2022,Brentford,1 - 1,Wolves
100,26-12-2022,Brentford,2 - 2,Tottenham
101,02-01-2023,Brentford,3 - 1,Liverpool
102,14-01-2023,Brentford,2 - 0,Bournemouth
103,04-02-2023,Brentford,3 - 0,Southampton
104,18-02-2023,Brentford,1 - 1,Crystal Palace
105,06-03-2023,Brentford,3 - 2,Fulham
106,18-03-2023,Brentford,1 - 1,Leicester
107,08-04-2023,Brentford,1 - 2,Newcastle
108,07-08-2022,Leicester,2 - 2,Brentford
109,20-08-2022,Fulham,3 - 2,Brentford
110,30-08-2022,Crystal Palace,1 - 1,Brentford
111,01-10-2022,Bournemouth,0 - 0,Brentford
112,08-10-2022,Newcastle,5 - 1,Brentford
113,23-10-2022,Aston Villa,4 - 0,Brentford
114,05-11-2022,Nott'm Forest,2 - 2,Brentford
115,12-11-2022,Man City,1 - 2,Brentford
116,30-12-2022,West Ham,0 - 2,Brentford
117,22-01-2023,Leeds,0 - 0,Brentford
118,11-02-2023,Arsenal,1 - 1,Brentford
119,11-03-2023,Everton,1 - 0,Brentford
120,15-03-2023,Southampton,0 - 2,Brentford
121,01-04-2023,Brighton,3 - 3,Brentford
122,05-04-2023,Man United,1 - 0,Brentford
123,15-04-2023,Wolves,? - ?,Brentford
124,13-08-2022,Brighton,0 - 0,Newcastle
125,27-08-2022,Brighton,1 - 0,Leeds
126,04-09-2022,Brighton,5 - 2,Leicester
127,08-10-2022,Brighton,0 - 1,Tottenham
128,18-10-2022,Brighton,0 - 0,Nott'm Forest
129,29-10-2022,Brighton,4 - 1,Chelsea
130,13-11-2022,Brighton,1 - 2,Aston Villa
131,31-12-2022,Brighton,2 - 4,Arsenal
132,14-01-2023,Brighton,3 - 0,Liverpool
133,04-02-2023,Brighton,1 - 0,Bournemouth
134,18-02-2023,Brighton,0 - 1,Fulham
135,04-03-2023,Brighton,4 - 0,West Ham
136,15-03-2023,Brighton,1 - 0,Crystal Palace
137,01-04-2023,Brighton,3 - 3,Brentford
138,07-08-2022,Man United,1 - 2,Brighton
139,21-08-2022,West Ham,0 - 2,Brighton
140,30-08-2022,Fulham,2 - 1,Brighton
141,01-10-2022,Liverpool,3 - 3,Brighton
142,14-10-2022,Brentford,2 - 0,Brighton
143,22-10-2022,Man City,3 - 1,Brighton
144,05-11-2022,Wolves,2 - 3,Brighton
145,26-12-2022,Southampton,1 - 3,Brighton
146,03-01-2023,Everton,1 - 4,Brighton
147,21-01-2023,Leicester,2 - 2,Brighton
148,11-02-2023,Crystal Palace,1 - 1,Brighton
149,11-03-2023,Leeds,2 - 2,Brighton
150,04-04-2023,Bournemouth,0 - 2,Brighton
151,08-04-2023,Tottenham,2 - 1,Brighton
152,15-04-2023,Chelsea,? - ?,Brighton
153,14-08-2022,Chelsea,2 - 2,Tottenham
154,27-08-2022,Chelsea,2 - 1,Leicester
155,03-09-2022,Chelsea,2 - 1,West Ham
156,08-10-2022,Chelsea,3 - 0,Wolves
157,22-10-2022,Chelsea,1 - 1,Man United
158,06-11-2022,Chelsea,0 - 1,Arsenal
159,27-12-2022,Chelsea,2 - 0,Bournemouth
160,05-01-2023,Chelsea,0 - 1,Man City
161,15-01-2023,Chelsea,1 - 0,Crystal Palace
162,03-02-2023,Chelsea,0 - 0,Fulham
163,18-02-2023,Chelsea,0 - 1,Southampton
164,04-03-2023,Chelsea,1 - 0,Leeds
165,18-03-2023,Chelsea,2 - 2,Everton
166,01-04-2023,Chelsea,0 - 2,Aston Villa
167,04-04-2023,Chelsea,0 - 0,Liverpool
168,15-04-2023,Chelsea,? - ?,Brighton
169,06-08-2022,Everton,0 - 1,Chelsea
170,21-08-2022,Leeds,3 - 0,Chelsea
171,30-08-2022,Southampton,2 - 1,Chelsea
172,01-10-2022,Crystal Palace,1 - 2,Chelsea
173,16-10-2022,Aston Villa,0 - 2,Chelsea
174,19-10-2022,Brentford,0 - 0,Chelsea
175,29-10-2022,Brighton,4 - 1,Chelsea
176,12-11-2022,Newcastle,1 - 0,Chelsea
177,01-01-2023,Nott'm Forest,1 - 1,Chelsea
178,12-01-2023,Fulham,2 - 1,Chelsea
179,21-01-2023,Liverpool,0 - 0,Chelsea
180,11-02-2023,West Ham,1 - 1,Chelsea
181,26-02-2023,Tottenham,2 - 0,Chelsea
182,11-03-2023,Leicester,1 - 3,Chelsea
183,08-04-2023,Wolves,1 - 0,Chelsea
184,05-08-2022,Crystal Palace,0 - 2,Arsenal
185,20-08-2022,Crystal Palace,3 - 1,Aston Villa
186,30-08-2022,Crystal Palace,1 - 1,Brentford
187,01-10-2022,Crystal Palace,1 - 2,Chelsea
188,09-10-2022,Crystal Palace,2 - 1,Leeds
189,18-10-2022,Crystal Palace,2 - 1,Wolves
190,29-10-2022,Crystal Palace,1 - 0,Southampton
191,26-12-2022,Crystal Palace,0 - 3,Fulham
192,04-01-2023,Crystal Palace,0 - 4,Tottenham
193,18-01-2023,Crystal Palace,1 - 1,Man United
194,21-01-2023,Crystal Palace,0 - 0,Newcastle
195,11-02-2023,Crystal Palace,1 - 1,Brighton
196,25-02-2023,Crystal Palace,0 - 0,Liverpool
197,11-03-2023,Crystal Palace,0 - 1,Man City
198,01-04-2023,Crystal Palace,2 - 1,Leicester
199,15-08-2022,Liverpool,1 - 1,Crystal Palace
200,27-08-2022,Man City,4 - 2,Crystal Palace
201,03-09-2022,Newcastle,0 - 0,Crystal Palace
202,15-10-2022,Leicester,0 - 0,Crystal Palace
203,22-10-2022,Everton,3 - 0,Crystal Palace
204,06-11-2022,West Ham,1 - 2,Crystal Palace
205,12-11-2022,Nott'm Forest,1 - 0,Crystal Palace
206,31-12-2022,Bournemouth,0 - 2,Crystal Palace
207,15-01-2023,Chelsea,1 - 0,Crystal Palace
208,04-02-2023,Man United,2 - 1,Crystal Palace
209,18-02-2023,Brentford,1 - 1,Crystal Palace
210,04-03-2023,Aston Villa,1 - 0,Crystal Palace
211,15-03-2023,Brighton,1 - 0,Crystal Palace
212,19-03-2023,Arsenal,4 - 1,Crystal Palace
213,09-04-2023,Leeds,1 - 5,Crystal Palace
214,15-04-2023,Southampton,? - ?,Crystal Palace
215,06-08-2022,Everton,0 - 1,Chelsea
216,20-08-2022,Everton,1 - 1,Nott'm Forest
217,03-09-2022,Everton,0 - 0,Liverpool
218,18-09-2022,Everton,1 - 0,West Ham
219,09-10-2022,Everton,1 - 2,Man United
220,22-10-2022,Everton,3 - 0,Crystal Palace
221,05-11-2022,Everton,0 - 2,Leicester
222,26-12-2022,Everton,1 - 2,Wolves
223,03-01-2023,Everton,1 - 4,Brighton
224,14-01-2023,Everton,1 - 2,Southampton
225,04-02-2023,Everton,1 - 0,Arsenal
226,18-02-2023,Everton,1 - 0,Leeds
227,25-02-2023,Everton,0 - 2,Aston Villa
228,11-03-2023,Everton,1 - 0,Brentford
229,03-04-2023,Everton,1 - 1,Tottenham
230,15-04-2023,Everton,? - ?,Fulham
231,13-08-2022,Aston Villa,2 - 1,Everton
232,27-08-2022,Brentford,1 - 1,Everton
233,30-08-2022,Leeds,1 - 1,Everton
234,01-10-2022,Southampton,1 - 2,Everton
235,15-10-2022,Tottenham,2 - 0,Everton
236,19-10-2022,Newcastle,1 - 0,Everton
237,29-10-2022,Fulham,0 - 0,Everton
238,12-11-2022,Bournemouth,3 - 0,Everton
239,31-12-2022,Man City,1 - 1,Everton
240,21-01-2023,West Ham,2 - 0,Everton
241,13-02-2023,Liverpool,2 - 0,Everton
242,01-03-2023,Arsenal,4 - 0,Everton
243,05-03-2023,Nott'm Forest,2 - 2,Everton
244,18-03-2023,Chelsea,2 - 2,Everton
245,08-04-2023,Man United,2 - 0,Everton
246,06-08-2022,Fulham,2 - 2,Liverpool
247,20-08-2022,Fulham,3 - 2,Brentford
248,30-08-2022,Fulham,2 - 1,Brighton
249,01-10-2022,Fulham,1 - 4,Newcastle
250,15-10-2022,Fulham,2 - 2,Bournemouth
251,20-10-2022,Fulham,3 - 0,Aston Villa
252,29-10-2022,Fulham,0 - 0,Everton
253,13-11-2022,Fulham,1 - 2,Man United
254,31-12-2022,Fulham,2 - 1,Southampton
255,12-01-2023,Fulham,2 - 1,Chelsea
256,23-01-2023,Fulham,0 - 1,Tottenham
257,11-02-2023,Fulham,2 - 0,Nott'm Forest
258,24-02-2023,Fulham,1 - 1,Wolves
259,12-03-2023,Fulham,0 - 3,Arsenal
260,08-04-2023,Fulham,0 - 1,West Ham
261,13-08-2022,Wolves,0 - 0,Fulham
262,27-08-2022,Arsenal,2 - 1,Fulham
263,03-09-2022,Tottenham,2 - 1,Fulham
264,16-09-2022,Nott'm Forest,2 - 3,Fulham
265,09-10-2022,West Ham,3 - 1,Fulham
266,23-10-2022,Leeds,2 - 3,Fulham
267,05-11-2022,Man City,2 - 1,Fulham
268,26-12-2022,Crystal Palace,0 - 3,Fulham
269,03-01-2023,Leicester,0 - 1,Fulham
270,15-01-2023,Newcastle,1 - 0,Fulham
271,03-02-2023,Chelsea,0 - 0,Fulham
272,18-02-2023,Brighton,0 - 1,Fulham
273,06-03-2023,Brentford,3 - 2,Fulham
274,01-04-2023,Bournemouth,2 - 1,Fulham
275,15-04-2023,Everton,? - ?,Fulham
276,06-08-2022,Leeds,2 - 1,Wolves
277,21-08-2022,Leeds,3 - 0,Chelsea
278,30-08-2022,Leeds,1 - 1,Everton
279,02-10-2022,Leeds,0 - 0,Aston Villa
280,16-10-2022,Leeds,0 - 1,Arsenal
281,23-10-2022,Leeds,2 - 3,Fulham
282,05-11-2022,Leeds,4 - 3,Bournemouth
283,28-12-2022,Leeds,1 - 3,Man City
284,04-01-2023,Leeds,2 - 2,West Ham
285,22-01-2023,Leeds,0 - 0,Brentford
286,12-02-2023,Leeds,0 - 2,Man United
287,25-02-2023,Leeds,1 - 0,Southampton
288,11-03-2023,Leeds,2 - 2,Brighton
289,04-04-2023,Leeds,2 - 1,Nott'm Forest
290,09-04-2023,Leeds,1 - 5,Crystal Palace
291,17-04-2023,Leeds,? - ?,Liverpool
292,13-08-2022,Southampton,2 - 2,Leeds
293,27-08-2022,Brighton,1 - 0,Leeds
294,03-09-2022,Brentford,5 - 2,Leeds
295,09-10-2022,Crystal Palace,2 - 1,Leeds
296,20-10-2022,Leicester,2 - 0,Leeds
297,29-10-2022,Liverpool,1 - 2,Leeds
298,12-11-2022,Tottenham,4 - 3,Leeds
299,31-12-2022,Newcastle,0 - 0,Leeds
300,13-01-2023,Aston Villa,2 - 1,Leeds
301,05-02-2023,Nott'm Forest,1 - 0,Leeds
302,08-02-2023,Man United,2 - 2,Leeds
303,18-02-2023,Everton,1 - 0,Leeds
304,04-03-2023,Chelsea,1 - 0,Leeds
305,18-03-2023,Wolves,2 - 4,Leeds
306,01-04-2023,Arsenal,4 - 1,Leeds
307,07-08-2022,Leicester,2 - 2,Brentford
308,20-08-2022,Leicester,1 - 2,Southampton
